date,Total_PnL,Total_Volume_USD,Avg_Execution_Price,Unique_Traders,classification,value
2024-11-01,-164.08950099999998,305314.1,12141.70542857143,2,Extreme Greed,75.0
2024-11-02,983.443176,212311.82,17890.449081970586,1,Greed,72.0
2024-11-03,3588.179495,176519.44999999998,2.647672619047619,1,Greed,74.0
2024-11-04,389.743164,76400.96,3521.2125,1,Greed,70.0
2024-11-05,251.604742,63248.95,2922.511111111111,1,Greed,70.0
2024-11-06,4320.631811,373279.92,8924.726208861788,3,Greed,70.0
2024-11-07,1876.812082,169887.02,3151.1421052631576,1,Extreme Greed,77.0
2024-11-08,847.7766200000001,44230.21,892.9076233333334,2,Extreme Greed,75.0
2024-11-09,0.0,0.54,1.5e-05,1,Extreme Greed,75.0
2024-11-10,8885.327477,488904.19,59195.38462157692,2,Extreme Greed,78.0
2024-11-11,6749.630996,1570572.42,6882.198738908847,4,Extreme Greed,76.0
2024-11-12,319051.554217,2194098.33,4356.6742505249795,12,Extreme Greed,80.0
2024-12-01,-1925.519024,200082.27,39774.47142857143,1,Extreme Greed,81.0
2024-12-02,913.8817869999998,227247.69999999998,28717.7418125,1,Extreme Greed,80.0
2024-12-03,3039.166,103040.85,9.235375,1,Extreme Greed,76.0
2024-12-04,-592.6458390000001,442088.59,555.2924815968992,3,Extreme Greed,78.0
2024-12-05,0.0,55179.56,1272.34931,2,Extreme Greed,84.0
2024-12-06,-21886.531493,193407.96,1364.4425952755905,2,Greed,72.0
2024-12-07,1412.314654,89582.97,1621.380905263158,2,Extreme Greed,75.0
2024-12-08,858.6705000000001,54167.32,855.5521279583332,3,Extreme Greed,79.0
2024-12-10,541.55471,159713.4,62726.0,1,Extreme Greed,78.0
2024-12-11,3494.399394,1226354.52,33638.82797450292,4,Greed,74.0
2024-12-12,599151.795008,4557189.87,2265.6843708274846,14,Extreme Greed,83.0
2025-01-01,-9528.065345,282582.1,8822.579264114584,6,Greed,66.0
2025-01-02,32300.205017,1363746.44,4211.306208217666,12,Greed,70.0
2025-01-03,10596.108968,263824.13,3119.315583793103,5,Greed,74.0
2025-01-04,-2202.6622420000003,704445.1900000001,11425.36599246875,9,Greed,73.0
2025-01-05,54536.829297000004,10720240.52,12672.104182341463,11,Greed,72.0
2025-02-01,8716.519087,774674.84,10094.891613861495,9,Greed,68.0
2025-02-02,162854.759623,5661092.29,5409.088864621683,13,Greed,60.0
2025-02-03,66914.320708,6460848.74,9371.077831221804,10,Fear,44.0
2025-02-04,202212.740938,3867930.6,7414.856134767658,11,Greed,72.0
2025-02-19,2569073.548027,316450299.38,10616.13467196969,31,Fear,44.0
2025-03-01,6028.486793,771208.99,9803.075828159448,9,Extreme Fear,20.0
2025-03-02,348871.326269,22592901.37,4859.416197735714,12,Fear,26.0
2025-03-03,616413.032233,8244590.38,3500.2799614203777,14,Fear,33.0
2025-03-04,-2365.961276,8670233.15,4420.623526697368,17,Extreme Fear,15.0
2025-04-01,2553.537968,1826029.6199999999,7797.149899172507,9,Fear,34.0
2025-04-02,416876.88812,15678409.27,15703.124947818073,13,Fear,44.0
2025-04-03,182075.566585,11124247.15,2545.786879941715,16,Fear,25.0
2025-04-04,-25515.678949999998,3835545.73,4732.811766900943,14,Fear,28.0
2025-05-01,3187.719363,451943.57,7824.165539405858,8,Neutral,53.0
2025-05-02,56706.235562,8743231.51,21926.164488164224,11,Greed,67.0
2025-05-03,269328.365917,9193654.22,3657.355850823494,13,,
2025-05-04,35907.33771,1267564.22,10940.511464127778,10,,
2025-06-01,6064.185393,556526.99,7217.135723097731,7,,
2025-06-02,33803.799733,2818508.87,2869.875065266001,11,,
2025-06-03,16101.125561,6765324.96,5795.717284914474,12,,
2025-06-04,47053.449272,3551252.06,4081.8439489007637,14,,
2025-06-15,17172.518336999987,299555032.51,24176.932043556215,25,,
2025-07-01,16098.227531,1313178.1,9068.043705916796,6,,
2025-07-02,22450.002091,3460263.54,23967.33330591798,13,,
2025-07-03,150236.061627,19854275.48,4468.829034675548,14,,
2025-07-04,34527.370305,14460253.14,10523.865138202558,18,,
2025-08-01,130117.090554,3177275.18,6518.9895779990375,11,,
2025-08-02,586.703253,839734.97,17096.856943027826,10,,
2025-08-03,24700.773359,892083.51,3131.854198517958,13,,
2025-08-04,34899.394798,8869391.4,31685.96511792683,17,,
2025-09-01,46975.928902,1020733.25,6362.8980927356315,7,,
2025-09-02,150551.829492,2920919.7,1661.4545370450262,12,,
2025-09-03,19773.457395,10419697.99,806.5426083241913,12,,
2025-09-04,43120.444797,28556806.47,13917.529131650617,20,,
2025-10-01,-10116.875552,6547449.68,31588.405895721615,7,,
2025-10-02,63908.49465,3624958.44,34318.415525228345,14,,
2025-10-03,-10010.027269999999,16811790.68,2998.767983825833,14,,
2025-10-04,158261.822261,28741953.29,39246.50578036154,19,,
2025-11-01,2269.080536,1658098.71,30131.135140431095,7,,
2025-11-02,-6093.784817,2797544.17,19989.86707794811,12,,
2025-11-03,-76880.729036,14016952.09,2341.3900885374314,16,,
2025-11-04,126406.479081,11319327.07,18896.037772089418,16,,
2025-12-01,5742.241803,2258459.17,12893.280709518272,7,,
2025-12-02,19848.635032,4143974.54,20122.266069995152,12,,
2025-12-03,288105.984215,18618139.15,4000.6491172159776,13,,
2025-12-04,410419.694533,55914617.49,52901.409214082974,20,,
